DB ID,Groups,Measure Title,Detail Measure - CTP,Short Definition - CTP,Long Definition - CTP,Operation Description - CTP,Exclusions - CTP,Availability - CTP,Sources - CTP,Footnotes - CTP,Format - CTP,Calculation - CTP,Variable - CTP,Unknown Expression 1 - CTP,Unknown Expression 2 - CTP,Allowable Tags - CTP,Expression 1 - CTP,Expression 2 - CTP,Filter Classes - CTP,Charging Stage - CTP,Date Stage - CTP,Felony / Misdemeanor - CTP,Include Standard Severities - CTP,Units - CTP,Numerator Description - CTP,Denominator Description - CTP,Related Measures - CTP
905,"Performance, Primary
Goal, Fair Process: 
Stage, Case Resolution: ",Time from Offense to Sentencing,,Measures the median number of days between the occurrence of a crime and when a defendant is sentenced.,There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Middle point in the distribution between the occurrence of a crime and sentencing for convicted cases.,"Homicides, cases declined for prosecution, open cases or cases with unknown disposition at the time of data extraction; cases not resulting in a conviction; convicted cases not yet sentenced, and cases transferred to another jurisdiction.","(1,2,3)CA113: NOT_AVAILABLE_YET",,,Median,MEDIAN,DysOffnsToSntncg,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,Prosecuted=1 AND CaseStatus=1 AND Cnvctd=1 AND DysOffnsToSntncg>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Conviction,Sentence,,TRUE,"Day,Days",,,"In [loc], the median time to disposition for felonies was [val] day[|s]."
105,"Performance, Primary
Goal, Fair Process: 14
Stage, Case Resolution: 8",Time to Disposition for Misdemeanors,,Measures the median[12] number of days from case filing to case closure for misdemeanors filed in [CohortStYr].,,Middle point in the distribution of days from case filing to closure for all [CohortStYr] misdemeanor cases.,Felonies; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; and cases transferred to another jurisdiction.,"(1,2,3)CA113: AVAILABLE",,,Median,MEDIAN,DysFilingToClsr,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgFelMisd=0 AND DysFilingToClsr>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Misdemeanor,TRUE,"Day,Days",,,"18,120"
25,"Performance, Primary
Goal, Fiscal Responsibility: 7
Stage, Case Resolution: 10",Nonviolent Felonies Sentenced to Prison,,Measures the percentage of [CohortStYr] nonviolent[173] felony convictions that resulted in a prison sentence involving a defendant with no convictions in that state in the prior three years[14].[45][249],,Number of [CohortStYr]  nonviolent felony convictions involving a defendant with no convictions in that state in the prior three years that resulted in a prison sentence divided by number of [CohortStYr]  nonviolent felony convictions involving a defendant with no convictions in that state in the prior three years.,"Misdemeanors; violent felonies; cases filed in [CohortStYr], [CohortStYr+1] and [CohortStYr+2]; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; cases dismissed; cases with pretrial diversion; cases where the defendant was acquitted at trial; cases transferred to another jurisdiction; cases involving defendants with a concurrent violent conviction; cases involving defendants with convictions in the prior three years; cases for which the defendant could not receive probation; and cases where the defendant was sentenced to prison but received time served credit for the full length of the prison sentence imposed.","(1,2,3)CA113: AVAILABLE",,,Percentage,PERCENTAGE,Prosecuted,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND TopCnvctnChrgFelMisdVNV=2 AND Cnvctd=1 AND CVCFlag=0 AND PriorsFlag=0 AND AnyCnvctnChrgNoPrbtn=0 AND (TopSntnc=1 OR TopSntnc=2 OR TopSntnc=5),Prosecuted=1 AND TopCnvctnChrgFelMisdVNV=2 AND Cnvctd=1 AND CVCFlag=0 AND PriorsFlag=0 AND AnyCnvctnChrgNoPrbtn=0 AND TopSntnc<>7 AND TopSntnc>-777 ,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Conviction,Sentence,Felony,,"Conviction,Convictions",Sentenced to prison,Nonviolent felony convictions,"26,27"
26,"Performance, Primary
Goal, Fiscal Responsibility: 8
Stage, Case Resolution: 11",Length of Imposed Prison Sentence: Nonviolent Felonies,,Measures the median[12] prison sentence length (in months) imposed for nonviolent[173] felony cases in [CohortStYr] for which the defendant did not have convictions in the prior three years.[14][49][50][250],"We recommend interpreting this measure together with ""Nonviolent Felonies Sentenced to Prison"" and ""Length of Imposed Jail Sentence: Nonviolent Misdemeanors."" 

There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.",Middle point in the distribution of prison sentences (in months) imposed on nonviolent felony cases in [CohortStYr]  where the defendant did not have a conviction in that state in the prior three years.,"Misdemeanors; violent felonies; cases filed in [CohortStYr], [CohortStYr+1] and [CohortStYr+2]; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; cases dismissed; cases with pretrial diversion; cases where the defendant was acquitted at trial; cases transferred to another jurisdiction; cases involving defendants with convictions in the prior three years; cases involving defendants with a concurrent violent conviction; cases where the most severe sentence did not include prison; cases for which the defendant could not receive probation; and cases where the defendant was sentenced to prison but received time served credit for the full length of the prison sentence imposed.","(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,Prosecuted,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,Prosecuted=1 AND Cnvctd=1 AND TopCnvctnChrgFelMisdVNV=2 AND AnyCnvctnChrgNoPrbtn=0 AND (TopSntnc=1 OR TopSntnc=2 OR TopSntnc=5) AND CVCFlag=0 AND PriorsFlag=0 AND PrsnSntncLngthMo>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Conviction,Sentence,Felony,,"Month,Months",,,"25,28"
27,"Performance, Primary
Goal, Fiscal Responsibility: 9
Stage, Case Resolution: 12",Nonviolent Misdemeanors Sentenced to Jail,,Measures the percentage of [CohortStYr] nonviolent[173] misdemeanor convictions that resulted in a jail sentence involving a defendant with no convictions in that state in the prior three years.[14][52][249],"We recommend interpreting this Measure together with ""Length of Imposed Jail Sentence: Nonviolent Misdemeanors"" and ""Nonviolent Felonies Sentenced to Prison."" 

There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.",Number of [CohortStYr]  nonviolent misdemeanor convictions involving a defendant with no convictions in that state in the prior three years that resulted in a jail sentence divided by number of [CohortStYr]  nonviolent misdemeanor convictions involving a defendant with no convictions in that state in the prior three years.,"Felonies; violent misdemeanors; cases filed in [CohortStYr], [CohortStYr+1] and [CohortStYr+2]; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; cases dismissed; cases with pretrial diversion; cases where the defendant was acquitted at trial; cases transferred to another jurisdiction; cases involving defendants with a concurrent violent conviction; cases involving defendants with convictions in the prior three years; cases where the defendant was sentenced to jail but received time served credit for the full length of the jail sentence imposed; and probation holds where the data allow for their identification.","(1,2,3)CA113: AVAILABLE",,,,,Prosecuted,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND TopCnvctnChrgFelMisdVNV=0 AND CVCFlag=0 AND PriorsFlag=0 AND Cnvctd=1 AND (TopSntnc=3 OR TopSntnc=6),Prosecuted=1 AND TopCnvctnChrgFelMisdVNV=0 AND CVCFlag=0 AND PriorsFlag=0 AND Cnvctd=1 AND TopSntnc<>7 AND TopSntnc>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Conviction,Sentence,Misdemeanor,,"Jail sentence, Jail sentences",Sentenced to jail,Nonviolent misdemeanor convictions,"28,25"
28,"Performance, Primary
Goal, Fiscal Responsibility: 10
Stage, Case Resolution: 13",Length of Imposed Jail Sentence: Nonviolent Misdemeanors,,Measures the median[12] jail sentence length (in days) imposed on nonviolent[173] misdemeanor cases in [CohortStYr] for which the defendant did not have convictions in the prior three years.[14][59][250],"We recommend interpreting this Measure together with ""Nonviolent Misdemeanors Sentenced to Jail"" and ""Length of Imposed Jail Sentence: Nonviolent Felonies."" 

There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.",Middle point in the distribution of jail sentence lengths (in days) imposed on nonviolent misdemeanor cases in [CohortStYr]  where the defendant did not have convictions in that state in the prior three years.,"Felonies; violent misdemeanors; cases filed in [CohortStYr], [CohortStYr+1] and [CohortStYr+2]; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; cases dismissed; cases with pretrial diversion; cases where the defendant was acquitted at trial; cases transferred to another jurisdiction; cases involving defendants with a concurrent violent conviction; cases involving defendants with convictions in the prior three years; cases where the most severe sentence did not include jail; and cases where the defendant was sentenced to jail but received time served credit for the full length of the jail sentence imposed.","(1,2,3)CA113: NOT_AVAILABLE_YET",,,,,Prosecuted,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",,Prosecuted=1 AND CVCFlag=0 AND PriorsFlag=0 AND Cnvctd=1 AND TopCnvctnChrgFelMisdVNV=0 AND (TopSntnc=3 OR TopSntnc=6) AND JailSntncLngthDys>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Conviction,Sentence,Misdemeanor,,"Day,Days",,,27
29,"Performance, Primary
Goal, Fair Process: 15
Goal, Fiscal Responsibility: 11
Stage, Case Resolution: 15",Drug Possession Convictions Sentenced to Prison,,Measures the percentage of [CohortStY] drug possession cases that received a prison sentence involving defendants who had no convictions in that state in the prior three years.[14][45][60][249],"We recommend interpreting this Measure together with ""Drug Possession Convictions Sentenced to Jail."" We also recommend exploring this Measure using the ""Drug Type"" and ""Race/Ethnicity"" filters. 

There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.",Number of [CohortStYr]  drug possession convictions involving defendants with no convictions in that state in the prior three years that received a prison sentence divided by number of [CohortStYr]  drug possession convictions involving defendants with no convictions in that state in the prior three years.,"Cases for which the top conviction charge was not drug possession; cases for which the top conviction charge was possession with intent to sell or distribute; cases filed in [CohortStYr], [CohortStYr+1] and [CohortStYr+2]; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; cases dismissed; cases with pretrial diversion; cases where the defendant was acquitted at trial; cases transferred to another jurisdiction; cases involving defendants with a concurrent violent conviction; cases involving defendants with convictions in the prior three years; cases for which the defendant could not receive probation; and cases where the defendant was sentenced to prison but received time served credit for the full length of the prison sentence imposed.","(1,2,3)CA113: AVAILABLE",,,,,Prosecuted,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND CVCFlag=0 AND PriorsFlag=0 AND Cnvctd=1 AND TopCnvctnDrgPssessn=1 AND AnyCnvctnChrgNoPrbtn=0 AND (TopSntnc=1 OR TopSntnc=2 OR TopSntnc=5) ,Prosecuted=1 AND CVCFlag=0 AND PriorsFlag=0 AND Cnvctd=1 AND TopCnvctnDrgPssessn=1 AND AnyCnvctnChrgNoPrbtn=0 AND TopSntnc<>7 AND TopSntnc>-777 ,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Conviction,Sentence,,,"Conviction,Convictions",Sentenced to prison,Drug possession convictions,"41,118"
41,"Performance, Primary
Goal, Fair Process: 15
Goal, Fiscal Responsibility: 11
Stage, Case Resolution: 16",Drug Possession Convictions Sentenced to Jail,,Measures the percentage of [CohortStYr] drug possession cases that received a jail sentence involving defendants with no convictions in that state in the prior three years.[14][45][60][249],"We recommend interpreting this Measure together with """"Drug Possession Convictions Sentenced to Prison."""" We also recommend exploring this Measure using the """"Drug Type"""" and """"Race/Ethnicity"""" filters. 

There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.""",Number of [CohortStYr]  drug possession convictions involving defendants with no convictions in that state in the prior three years that received a jail sentence divided by number of [CohortStYr]  drug possession convictions involving defendants with no convictions in that state in the prior three years.,"Cases for which the top conviction charge was not drug possession; cases for which the top conviction charge was possession with intent to sell or distribute; cases filed in [CohortStYr], [CohortStYr+1] and [CohortStYr+2]; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; cases dismissed; cases with pretrial diversion; cases where the defendant was acquitted at trial; cases transferred to another jurisdiction; cases involving defendants with a concurrent violent conviction; cases involving defendants with convictions in the prior three years; and cases where the defendant was sentenced to jail but received time served credit for the full length of the jail sentence imposed.","(1,2,3)CA113: AVAILABLE",,,,,Prosecuted,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND CVCFlag=0 AND PriorsFlag=0 AND Cnvctd=1 AND TopCnvctnDrgPssessn=1 AND AnyCnvctnChrgNoPrbtn=0 AND (TopSntnc=3 OR TopSntnc=6) ,Prosecuted=1 AND CVCFlag=0 AND PriorsFlag=0 AND Cnvctd=1 AND TopCnvctnDrgPssessn=1 AND AnyCnvctnChrgNoPrbtn=0 AND TopSntnc<>7 AND TopSntnc>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Conviction,Sentence,,,"Conviction,Convictions",Sentenced to jail,Drug possession convictions,"29,118"
906,"Performance, Primary:
Goal, Public Safety:
Stage: Post-resolution:","Re-arrest Rate
(Recidivism rate)",,Measures the percentage of [CohortStYr] cases in which individuals were re-arrested within three years of the projected end of their sentence.,There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Number of [CohortStYr] cases in which defendants were sentenced to custodial or probation supervision that were re-arrested within 3 years divided by the total number of [CohortStYr] cases in which defendants were sentenced to custodial or probation terms.,"Cases declined for prosecution, cases resulting in dismissal, cases resulting in an acquittal, cases transferred to another jurisdiction,open cases or cases with unknown disposition at the time of data extraction, cases resulting in non-incarcerative or supervision sentences.","(1,2,3)CA113: NOT_AVAILABLE_YET",,,Percentage,PERCENTAGE,ReArrstFlag,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND CaseStatus=1 AND Cnvctd=1 AND (TopSntnc>1 AND TopSntnc<10) AND ReArrstFlag=1,Prosecuted=1 AND CaseStatus=1 AND Cnvctd=1 AND (TopSntnc>1 AND TopSntnc<10) AND ReArrstFlag>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Conviction,Sentence,,TRUE,"Case,Cases",Cases in which defendants were rearrested,Cases with custodial or probation sentences,
103,"Performance, Companion: 3",Misdemeanor Cases,,Measures the percentage of misdemeanor cases filed in court in [CohortStYr].,There are many factors that could affect a county's results on this Measure. The data presented here are intended to show general patterns and to highlight areas that might need further investigation.,Number of misdemeanor cases filed in court in [CohortStYr] divided by the total number of cases filed in court in [CohortStYr].,Cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; and cases transferred to another jurisdiction.,,,,Percentage,PERCENTAGE,TopFilingChrgFelMisd,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND TopFilingChrgFelMisd=0,Prosecuted=1 AND TopFilingChrgFelMisd>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Filing,Misdemeanor,,"Case,Cases",Misdemeanors,Cases filed in court,
17,"Performance, Companion: 4",Felony Cases Resolved within 180 Days,,Measures the percentage of [CohortStYr] felony cases that were resolved within 180 days of filing in court.,,Number of [CohortStYr] felony cases resolved within 180 days of case filing divided by total number of [CohortStYr] felony cases resolved.[44],Misdemeanors; homicides; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; and cases transferred to another jurisdiction.,"(1,2,3)CA113: AVAILABLE",,,Percentage,PERCENTAGE,FelDispo180,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgOffns>4 AND TopFilingChrgOffns<777 AND TopFilingChrgFelMisd=1 AND FelDispo180=1,Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgOffns>4 AND TopFilingChrgOffns<777 AND TopFilingChrgFelMisd=1 AND FelDispo180>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Felony,TRUE,"Case,Cases",Resolved within 180 days,Resolved felony cases,
18,"Performance, Companion: 5",Misdemeanor Cases Resolved within 90 Days,,Measures the percentage of [CohortStYr] misdemeanor cases that were resolved within 90 days of filing in court.,,Number of [CohortStYr] misdemeanor cases resolved within 90 days of case filing divided by total number of [CohortStYr] misdemeanor cases resolved.[44],Felonies; cases declined for prosecution; open cases or cases with unknown disposition at the time of data extraction; and cases transferred to another jurisdiction.,"(1,2,3)CA113: AVAILABLE",,,Percentage,PERCENTAGE,MisdDispo90,,,"OK, INSUFFICIENT_DATA, MISSINGNESS, BIAS, CALCULATION",Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgFelMisd=0 AND MisdDispo90=1,Prosecuted=1 AND CaseStatus=1 AND TopFilingChrgFelMisd=0 AND  MisdDispo90>-777,"Unfiltered, Defendant Characteristics, Victim Characteristics, Case Characteristics",Filing,Disposition,Misdemeanor,TRUE,"Case,Cases",Resolved within 90 days,Resolved misdemeanor cases,
